,title,final_price,list_price,bedrooms,bathrooms,sqft,parking,,
1,"4805 - 100 Harbour St, Toronto (C4496638) | Zoocasa","630,000","635,000",1,1,650,0,,
2,"1504 - 30 Roehampton Ave, Toronto (C4511330) | Zoocasa","550,000","549,900",1,1,550,0,,
3,"303 - 555 Yonge St, Toronto (C4495931) | Zoocasa","502,000","510,000",1,1,650,0,,
4,"505 - 4 Elsinore Path, Toronto (W4517121) | Zoocasa","368,000","289,000",0,1,250,1,,
5,"110 Albertus Ave, Toronto (C4467843) | Zoocasa","2,700,000","2,798,000",4,5,2750,2,,
6,"230 - 10 Eddystone Ave, Toronto (W4507649) | Zoocasa","200,000","199,000",3,2,1100,1,,
7,"182 Broadway Ave, Toronto (C4496078) | Zoocasa","975,000","954,900",2,2,1300,1,,
8,"412 - 99 Blackwell Ave, Toronto (E4513033) | Zoocasa","269,900","269,900",1,1,650,1,,
9,"17 Danville Dr, Toronto (C4496264) | Zoocasa","2,100,000","2,150,000",4,3,1750,2,,
10,"107 - 1185 The Queensway, Toronto (W4483221) | Zoocasa","357,500","369,000",0,1,250,1,,
11,"56 Victor Ave, Toronto (W4497529) | Zoocasa","1,535,000","1,569,000",4,4,2250,2,,
12,"1006 - 2 Glamorgan Ave, Toronto (E4512065) | Zoocasa","325,000","299,000",1,1,750,1,,
13,"118 Symons St, Toronto (W4462889) | Zoocasa","855,000","798,000",3,2,900,2,,
14,"1006 - 86 Gloucester St, Toronto (C4511234) | Zoocasa","775,000","739,000",2,2,1100,1,,
15,"6 Gray Ave, Toronto (W4521891) | Zoocasa","575,000","579,000",2,1,900,1,,
16,"2008 - 45 Charles St, Toronto (C4479705) | Zoocasa","543,600","548,000",1,1,550,0,,
17,"1006 - 2 Glamorgan Ave, Toronto (E4512065) | Zoocasa","325,000","299,000",1,1,750,1,,
18,"1306 - 455 Sentinel Rd, Toronto (W4509040) | Zoocasa","407,000","409,999",2,1,1100,1,,
19,"403 - 1900 Lake Shore Blvd W, Toronto (W4513685) | Zoocasa","555,000","559,900",2,1,750,0,,
20,"25 Thomas Mulholland Dr, Toronto (W4447382) | Zoocasa","725,000","729,000",3,3,1750,1,,
21,"118 Symons St, Toronto (W4462889) | Zoocasa","855,000","798,000",3,2,900,2,,
22,"131 Palmerston Ave, Toronto (C4496218) | Zoocasa","1,240,000","1,249,000",3,2,1750,0,,
23,"1802 - 77 Maitland Pl, Toronto (C4519334) | Zoocasa","625,000","625,000",2,2,850,1,,
24,"339 - 1100 Lansdowne Ave, Toronto (W4481901) | Zoocasa","1,300,000","1,500,000",3,4,2375,2,,
25,"29 Wellman Dr, Richmond Hill (N4498239) | Zoocasa","1,450,000","1,459,000",4,5,2750,2,,
26,"35 - 35 Foundry Ave, Toronto (W4500544) | Zoocasa","752,500","778,800",3,2,1300,1,,
27,"303 - 555 Yonge St, Toronto (C4495931) | Zoocasa","502,000","510,000",1,1,650,0,,
28,"106 - 30 Elsie Lane, Toronto (W4508679) | Zoocasa","765,000","749,900",3,2,950,1,,
29,"520 - 3650 Kingston Rd, Toronto (E4497272) | Zoocasa","350,000","369,000",0,1,250,1,,
30,"406 - 100 Leeward Glwy, Toronto (C4505036) | Zoocasa","310,000","289,000",1,1,650,1,,
31,"303 - 10 Sunrise Ave, Toronto (C4510413) | Zoocasa","462,500","469,900",3,2,1100,1,,
32,"520 - 3650 Kingston Rd, Toronto (E4497272) | Zoocasa","350,000","369,000",0,1,250,1,,
33,"1203 - 25 Oxley St, Toronto (C4520416) | Zoocasa","627,500","619,000",1,1,650,0,,
34,"131 Palmerston Ave, Toronto (C4496218) | Zoocasa","1,240,000","1,249,000",3,2,1750,0,,
35,"401 - 120 Homewood Ave, Toronto (C4456638) | Zoocasa","705,000","719,000",2,2,850,1,,
36,"1803 - 8 Mercer St, Toronto (C4431814) | Zoocasa","470,000","438,000",0,1,250,0,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
68,"2710 - 88 Blue Jays Way, Toronto (C4497287) | Zoocasa","476,500","489,900",0,1,250,0,,
69,"Ph04 - 1030 King St W, Toronto (C4508963) | Zoocasa","832,000","799,900",2,2,850,1,,
70,"339 - 1100 Lansdowne Ave, Toronto (W4481901) | Zoocasa","1,300,000","1,500,000",3,4,2375,2,,
72,"4805 - 100 Harbour St, Toronto (C4496638) | Zoocasa","630,000","635,000",1,1,650,0,,
73,"35 - 35 Foundry Ave, Toronto (W4500544) | Zoocasa","752,500","778,800",3,2,1300,1,,
76,"907 - 120 Homewood Ave, Toronto (C4472246) | Zoocasa","725,500","719,000",2,2,850,1,,
78,"303 - 10 Sunrise Ave, Toronto (C4510413) | Zoocasa","462,500","469,900",3,2,1100,1,,
85,"702 - 115 Omni Dr, Toronto (E4448848) | Zoocasa","415,000","445,000",2,2,950,1,,
87,"406 - 100 Leeward Glwy, Toronto (C4505036) | Zoocasa","310,000","289,000",1,1,650,1,,
89,"737 Craven Rd, Toronto (E4488096) | Zoocasa","570,000","629,900",1,1,N/A ,0,,
90,"Ph2406 - 7 Bishop Ave, Toronto (C4487992) | Zoocasa","455,000","490,000",1,2,950,1,,
92,"56 Victor Ave, Toronto (W4497529) | Zoocasa","1,535,000","1,569,000",4,4,2250,2,,
94,"29 Wellman Dr, Richmond Hill (N4498239) | Zoocasa","1,450,000","1,459,000",4,5,2750,2,,
96,"15 Fallingdale Cres, Toronto (W4466842) | Zoocasa","726,000","739,000",4,3,N/A ,3,,
97,"106 - 30 Elsie Lane, Toronto (W4508679) | Zoocasa","765,000","749,900",3,2,950,1,,
99,"54 Kimberdale Cres, Toronto (E4507077) | Zoocasa","967,500","999,800",4,3,N/A ,2,,
100,"Ph2406 - 7 Bishop Ave, Toronto (C4487992) | Zoocasa","455,000","490,000",1,2,950,1,,
101,"520 - 3650 Kingston Rd, Toronto (E4497272) | Zoocasa","350,000","369,000",0,1,250,1,,
102,"35 - 35 Foundry Ave, Toronto (W4500544) | Zoocasa","752,500","778,800",3,2,1300,1,,
104,"303 - 10 Sunrise Ave, Toronto (C4510413) | Zoocasa","462,500","469,900",3,2,1100,1,,
106,"1803 - 8 Mercer St, Toronto (C4431814) | Zoocasa","470,000","438,000",0,1,250,0,,
107,"4805 - 100 Harbour St, Toronto (C4496638) | Zoocasa","630,000","635,000",1,1,650,0,,
109,"1203 - 25 Oxley St, Toronto (C4520416) | Zoocasa","627,500","619,000",1,1,650,0,,
110,"108 - 10 Walker Ave, Toronto (C4510617) | Zoocasa","1,420,000","1,395,000",3,2,2125,2,,
113,"131 Palmerston Ave, Toronto (C4496218) | Zoocasa","1,240,000","1,249,000",3,2,1750,0,,
117,"737 Craven Rd, Toronto (E4488096) | Zoocasa","570,000","629,900",1,1,N/A ,0,,
118,"3605 - 8 York St, Toronto (C4522126) | Zoocasa","580,000","578,000",1,1,650,0,,
120,"907 - 120 Homewood Ave, Toronto (C4472246) | Zoocasa","725,500","719,000",2,2,850,1,,
124,"45 Tullis Dr, Toronto (C4514675) | Zoocasa","1,600,100","1,650,000",4,3,N/A ,2,,
125,"Lph02 - 352 Front St, Toronto (C4515327) | Zoocasa","760,000","768,000",2,1,750,1,,
126,"88 Somerset Ave, Toronto (C4509916) | Zoocasa","1,050,000","999,000",3,3,N/A ,2,,
128,"902 - 39 Sherbourne St, Toronto (C4511137) | Zoocasa","510,000","529,000",1,1,550,0,,
130,"19 Stavely Ave, Toronto (E4497288) | Zoocasa","680,000","698,000",3,1,N/A ,3,,
132,"1011 - 8 Mondeo Dr, Toronto (E4503146) | Zoocasa","368,000","378,000",1,1,650,1,,
133,"297 Kane Ave, Toronto (W4513752) | Zoocasa","704,000","639,900",2,3,N/A ,1,,
134,"350 Melita Ave, Toronto (C4514051) | Zoocasa","901,000","799,000",3,2,N/A ,1,,
